Customerorder nummer,klantnr,AAR nummer,RR code laden,RR code lossen,Laden van,Laden tot,Lossen van,Lossen tot,Operator,Logistieke service,Laadpartij,Laadstraat,Laadhuisnummer,Laadpostcode,Laadplaats,Laadland,Lospartij,Postcode laden,Land laden,Postcode lossen,Plaats lossen,TIS code lossen,OldName,Collectiedagen,rc_large_scheduled,Uitvoeringsdagen,rc_large_pickup_min,rc_large_pickup_median,rc_large_pickup_q95,rc_large_pickup_max,DropOffTime_min,DropOffTime_median,DropOffTime_max,dropoff_date,order_number,Transporthulpmiddeltype,DropOffTime2,Order_ID,AdresID,lat_laden,lon_laden,laadtijd_t,lostijd_t,RCP_equiv_ordered,RCP_equiv_realised,Pakketten_realised,HBR,ColloData_Klant_Naam,Accountnummer,postal_code__c,house_number__c,total,NMG,ALM,AME,AMS,APE,ARD,BOR,BRE,AL,HER,DEN,DTD,DOR,ELT,GOE,HAL,HEN,HGV,KOL,LEE,NAM,NIE,OEV,OPM,RID,SAS,SNI,STT,SON,TIL,UTR,VEN,VIL,WVN,WZN,WIL,WML,ZWO,MECH,ASN,%WEST,%OOST,%ZUID,%BE,Vulgraad,Pakketten_NMG
C6850114542,9241433,5256 CC,5301KW6M,5222AL4D,16:15:00,16:45:00,16:15:00,21:00:00,TransportBV,75,MSK-Podiamed B.V.,AMBACHT,6,5301KW,ZALTBOMMEL,NL,DEPOT DEN BOSCH,5301KW,NL,5222AL,DEN BOSCH,HT-KK,HER,0,5.5,0,3,3,3,3,145,145,145,{'2022-05-23'},D108856197,"{'PEU', 'RCP'}",{'2022-05-23 17:18:00+02:00'},C6850114542,5301KW_AMBACHT_6_ZALTBOMMEL_NL,51.8059059,5.2702803,143,160,5.5,3,56,9241433,MSK-Achil B.V.,9241433,5301KW,6,4055,0.002466091,0.034032059,0.052527744,0.012083847,0.052527744,0.002219482,0.02244143,0.051541307,0.011590629,0.056966708,0.026140567,0.002219482,0.052034525,0.042663379,0.051787916,0.017509248,0.034771887,0.030332922,0.017509248,0.019482121,0.000246609,0.03378545,0.003205919,0.033538841,0.046362515,0.023674476,0.001479655,0.001479655,0.029346486,0.047102343,0.03674476,0.041183724,0.001972873,0.044882861,0.03107275,0.0027127,0.0027127,0.02811344,,,28.4,34.6,35.2,1.8,18.86,0
C6886517323,9777651,M 5082,5042WH17T,5048AD82D,17:15:00,17:45:00,17:15:00,19:30:00,TransportBV,75,TGC TRADING,VALKENJACHTSTRAAT,17,5042WH,TILBURG,NL,DEPOT TILBURG,5042WH,NL,5048AD,TILBURG,TB-LE,TIL,0,8,0,6,6,6,6,146,146,146,{'2022-05-23'},D108856698,{'RCP'},{'2022-05-23 17:30:00+02:00'},C6886517323,5042WH_VALKENJACHTSTRAAT_17_TILBURG_NL,51.5737727,5.0493058,147,154,8,6,182,9777651,TGC Trading BV,9777651,5042WH,17,5328,0.003378378,0.028716216,0.02759009,0.024774775,0.032845345,0.008821321,0.054241742,0.032845345,0.006381381,0.030217718,0.034346847,0.005255255,0.022334835,0.039414414,0.030405405,0.030405405,0.036974474,0.028340841,0.05518018,0.03003003,0.00243994,0.024587087,0.006381381,0.034346847,0.059496997,0.029466967,0.00731982,0.007695195,0.062875375,0.025900901,0.016891892,0.045983483,0.007132132,0.021584084,0.04466967,0.00731982,0.011636637,0.02515015,,,30.2,32.9,30.5,6.4,30.37,1
C6884463109,10438642,2703,2718RD65M,2742RJ2D,22:30:00,23:00:00,22:30:00,23:45:00,TransportBV,75,MORESTORAGE,GOUDSTRAAT,65,2718RD,ZOETERMEER,NL,DEPOT WADDINXVEEN,2718RD,NL,2742RJ,WADDINXVEEN,WVN-O,WVN,0,30,0,11.5,11.5,11.5,11.5,169,169,169,{'2022-05-23'},D108855308,"{'PEU', 'RCP'}",{'2022-05-23 23:27:00+02:00'},C6884463109,2718RD_GOUDSTRAAT_65_ZOETERMEER_NL,52.0410394,4.5075283,168,171,30,11.5,160,10477689,MoreStorage B.V.,10438642,2718RD,65,18191,0.054807322,0.035237205,0.044527514,0.031279204,0.050299599,0.008190864,0.024737508,0.034192733,0.009180364,0.042328624,0.034962344,0.008685614,0.033862899,0.029849926,0.025891925,0.032928371,0.036116761,0.035731955,0.026001869,0.029575065,0.001594195,0.033588038,0.007641141,0.041339124,0.038590512,0.033368149,0.008685614,0.01055467,0.033258205,0.028255731,0.025397174,0.032103788,0.009070419,0.02995987,0.031883899,0.010884503,0.011654115,0.038590512,,,30.9,36,25.5,7.7,14.75,9
C6884313515,9191827,PREM.1064 XL,1394PC54D,1114AN150D,23:30:00,0:30:00,23:30:00,1:15:00,TransportBV,75,DIGITAL REVOLUTION [NEDERHORST DEN BERG-NIEUW WALDEN],NIEUW WALDEN,54,1394PC,NEDERHORST DEN BERG,NL,DEPOT AMSTERDAM ZUIDOOST,1394PC,NL,1114AN,AMSTERDAM,ASD-JOA,AMS,0,48,0,13,13,13,13,173,173,173,{'2022-05-23'},D108854567,{'RCP'},{'2022-05-24 00:18:00+02:00'},C6884313515,1394PC_NIEUW WALDEN_54_NEDERHORST DEN BERG_NL,52.252386,5.0817924,174,177,48,13,579,9191827,Digital Revolution,9191827,1394PC,54,82403,0.00276689,0.039003434,0.040192711,0.026103419,0.048262806,0,0.040993653,0.03461039,0.01135881,0.039780105,0.030884798,0,0.038178222,0.039088383,0.039221873,0.027632489,0.032547359,0.044961955,0.033675958,0.039585937,0,0.038445202,0,0.036855454,0.033396842,0.035726855,0,0,0.03587248,0.033615281,0.031782823,0.041054331,0,0.036333629,0.036879725,0,0,0.033955074,,,30.7,39,30.3,0,44.64,2
C6516515816,10344164,38107,3897AL6T,3815KP8D,16:00:00,17:00:00,16:00:00,21:00:00,TransportBV,75,TEGELDEPOT [ZEEWOLDE],EENSPAN,6,3897AL,ZEEWOLDE,NL,DEPOT AMERSFOORT,3897AL,NL,3815KP,AMERSFOORT,AMF-WT,AME,0,10,0,8,8,8,8,150,150,150,{'2022-05-23'},D108855311,{'RCP'},{'2022-05-23 18:44:00+02:00'},C6516515816,3897AL_EENSPAN_6_ZEEWOLDE_NL,52.3504806,5.4957103,144,160,10,8,288,10344164,Tegeldepot,10344164,3897AL,6,10291,0.146341463,0.049752211,0.045087941,0.028665825,0.033038577,0.009231367,0.031192304,0.024778933,0.010008746,0.041298222,0.030512098,0.011369158,0.030512098,0.028277135,0.034496162,0.03313575,0.031095132,0.0420756,0.024876105,0.037216986,0.000485861,0.035370712,0.011757847,0.034398989,0.030512098,0.031775338,0.008453989,0.012923914,0.032164027,0.024681761,0.029929064,0.027499757,0.009134195,0.03313575,0.041686911,0.012438053,0.015644738,0.031386649,,,30.4,35.8,24.7,9.1,42.13,49
C6507688634,9748222,8075,7957AW44B,8013RJ1D,16:30:00,17:00:00,16:30:00,21:00:00,TransportBV,75,VAN DE BELT MODEWERELD,DORPSSTRAAT,44,7957AW,DE WIJK,NL,DEPOT ZWOLLE,7957AW,NL,8013RJ,ZWOLLE,ZL-NK,ZWO,0,4,0,3,3,3,3,146,146,146,{'2022-05-23'},D108857361,{'RCP'},{'2022-05-23 17:37:00+02:00'},C6507688634,7957AW_DORPSSTRAAT_44_DE WIJK_NL,52.6726013,6.2852002,144,160,4,3,195,9748222,Van de Belt Modewereld B.V.,9748222,7957AW,44,8355,0,0.023578695,0.047875524,0.011490126,0.043327349,0.001555955,0.030520646,0.037103531,0.005864752,0.051466188,0.02309994,0.00095751,0.032555356,0.034709755,0.033512867,0.019269898,0.062477558,0.079233992,0.028366248,0.040813884,0.000478755,0.033752244,0.001196888,0.028725314,0.014242968,0.022501496,0.001555955,0.001915021,0.035667265,0.041891083,0.024895272,0.049670856,0.000837822,0.026929982,0.023937762,0.001316577,0.001436266,0.081268701,,,20.1,47.5,31.2,1.1,64.95,0
C6497338021,10572097,Cargo 2935,3201AB1H,2988CK21D,17:00:00,18:00:00,17:00:00,18:00:00,Zelfbrenger,75,HORECA WORLD EUROPE BV,IR. HERMAN DE GROOTWEG,1,3201AB,SPIJKENISSE,NL,DEPOT RIDDERKERK,3201AB,NL,2988CK,RIDDERKERK,RD-S,RID,0,20,0,15,15,15,15,146,146,146,{'2022-05-23'},D108858363,{'RCP'},{'2022-05-23 17:41:00+02:00'},C6497338021,3201AB_IR. HERMAN DE GROOTWEG_1_SPIJKENISSE_NL,51.8564582,4.3349543,148,148,20,15,195,1058805,Horeca World Europe B.V.,10572097,3201AB,1,4761,0.139046419,0.024364629,0.032136106,0.04452846,0.02268431,0.058391094,0.019533711,0.016593153,0.005040958,0.026044949,0.02331443,0.046838899,0.017223272,0.016173073,0.029825667,0.023944549,0.013652594,0.021424071,0.02247427,0.025204789,0.007141357,0.026885108,0.024994749,0.02226423,0.02268431,0.02289435,0.038857383,0.039277463,0.017853392,0.024784709,0.013862634,0.019533711,0.047679059,0.012182315,0.028355388,0.057130855,0.060911573,0.02331443,,,21.9,22.8,17.1,38.1,15.07,31
C6516947253,10350164,4477 XL,B9130KAL1I,4462HB62D,18:00:00,19:00:00,18:00:00,21:00:00,TransportBV,90,KATOEN NATIE iz INTERGAMMA [KALLO] [BE] WH22,OUDEDIJK,1,9130,KALLO,BE,DEPOT GOES,9130,BE,4462HB,GOES,GS-CO,GOE,0,48,0,48,48,48,48,156,156,156,{'2022-05-23'},D108856013,{'RCP'},{'2022-05-23 20:13:00+02:00'},C6516947253,9130_OUDEDIJK_1_KALLO_BE,51.27085055,4.281575201,152,160,48,48,522,10350164,Intergamma B.V.,10350164,9130,1,52329,0.210399587,0.047029372,0.039156108,0.036862925,0.043302949,5.73E-05,0.032429437,0.027499092,0.012612509,0.032238338,0.038028627,0.000114659,0.034263984,0.039901393,0.044869957,0.035467905,0.032295668,0.042232796,0.035219477,0.03613675,3.82E-05,0.039423647,0,0.039920503,0.043341168,0.043685146,3.82E-05,0,0.026295171,0.02360068,0.033289381,0.036060311,7.64E-05,0.033499589,0.036079421,5.73E-05,0,0.034875499,,,35.3,39,25.7,0,13.76,139
C6542781302,9770831,4853,4702VV19Z,4824AP1D,17:30:00,18:00:00,17:30:00,21:00:00,TransportBV,75,Z.G.V. ROOSENDAAL,SPOORSTRAAT,19,4702VV,ROOSENDAAL,NL,DEPOT BREDA,4702VV,NL,4824AP,BREDA,BD-SB,BRE,0,10,0,7,7,7,7,149,149,149,{'2022-05-23'},D108854604,{'RCP'},{'2022-05-23 18:17:00+02:00'},C6542781302,4702VV_SPOORSTRAAT_19_ROOSENDAAL_NL,51.5448804,4.4669349,148,160,10,7,290,9770831,ZGV Roosendaal,9770831,4702VV,19,9804,0.04130967,0.031415749,0.033353733,0.031925745,0.035801714,0.020399837,0.017135863,0.036515708,0.006425949,0.033965728,0.025397797,0.01876785,0.030395757,0.033659731,0.037433701,0.027743778,0.024683803,0.028559772,0.023357813,0.0249898,0.00254998,0.044369645,0.014687882,0.0375357,0.030293758,0.03121175,0.021317829,0.017849857,0.028661771,0.027947776,0.027131783,0.023255814,0.026621787,0.030905753,0.035291718,0.026519788,0.027131783,0.024785802,,,28.4,30.5,23.5,17.6,43.16,12
C6446167380,9110755,48131,4791VC1D,4824AP1D,22:30:00,23:00:00,22:30:00,23:45:00,TransportBV,75,DSV MCF (KLUNDERT),LOGISTIEKBOULEVARD,1,4791VC,KLUNDERT,NL,DEPOT BREDA,4791VC,NL,4824AP,BREDA,BD-SB,BRE,0,25,0,16,16,16,16,171,171,171,{'2022-05-23'},D108857406,{'RCP'},{'2022-05-23 23:49:00+02:00'},C6446167380,4791VC_LOGISTIEKBOULEVARD_1_KLUNDERT_NL,51.6581151,4.5585679,168,171,25,16,585,10279124,S&H Produktfulfilment BV,9110755,4791VC,1,24294,0.070181938,0.022063061,0.044702396,0.038857331,0.034905738,0.020951675,0.033629703,0.026590928,0.006585988,0.029472298,0.026385116,0.024573969,0.028566724,0.035029225,0.035687824,0.029925084,0.027908125,0.030583683,0.026261628,0.03408249,0.004322055,0.034741088,0.018687742,0.040462666,0.026590928,0.033465053,0.020046102,0.019099366,0.022063061,0.021651437,0.021939574,0.030460196,0.016876595,0.031777394,0.031695069,0.024038857,0.017329382,0.02799045,,,28.8,31.8,22.8,16.6,39.35,44
