,AAR nummer,Gecombineerde order,Customerorder nummer,Laadpartij,Laadstraat,Laadhuisnummer,Laadpostcode,Laadplaats,Laadland,RR code laden,Laden van,Laden tot,Operator,Logistieke service,Lospartij huidig,Lospartij voorstel,Gepland lossen van huidig,Gepland lossen tot huidig,Median lostijd huidig gerealiseerd,Lostijd voorstel,#RCP equiv georderd,#RCP equiv gerealiseerd (max),Vulgraad,#Pakketten gerealiseerd (max),#Pakketten_NMG,Transporthulpmiddeltype,Collectiedag,Dagen uitgevoerd,%WEST,%OOST,%ZUID,%BE,huidig=voorstel
35,PREM.2716,304,C7323697261,BEVER BV,AMBACHTSWEG,3,2641KS,PIJNACKER,NL,2641KS3B,00:00:00,00:30:00,TransportBV,75.0,DEPOT WADDINXVEEN,DEPOT UTRECHT,00:00:00,01:00:00,00:45:00,01:15:00,15.0,15.0,50.31,745.0,9.0,{'RCP'},Maandag,{'2022-05-23'},33.7,41.8,22.9,1.7,False
36,2995,804,C7312487695,OXYLINE BODYSTORE,TIELSEWEG,8,2994LG,BARENDRECHT,NL,2994LG8O,22:00:00,22:30:00,TransportBV,75.0,DEPOT RIDDERKERK,DEPOT RIDDERKERK,22:00:00,23:00:00,22:30:00,22:45:00,6.0,2.0,45.51,91.0,0.0,{'RCP'},Maandag,{'2022-05-23'},32.3,26.5,20.4,20.7,True
37,1094,233,C7306188704,GEBRO SALES BV,WITTE VLINDERWEG,51,1521PS,WORMERVEER,NL,1521PS51G,17:00:00,17:30:00,TransportBV,75.0,DEPOT AMSTERDAM,DEPOT AMSTERDAM ZUIDOOST,17:00:00,21:00:00,18:15:00,18:15:00,20.0,14.5,21.65,287.0,27.0,{'RCP'},Maandag,{'2022-05-23'},23.1,27.1,20.2,29.6,False
38,M 2911 TT,,C7279367954,KATOEN NATIE iz ZOOPLUS [KALLO] [BE],OUDEDIJK,1,9130,KALLO,BE,B9130KAL1Z,21:00:00,22:00:00,TransportBV,90.0,DEPOT RIDDERKERK,DEPOT WILLEBROEK,21:00:00,00:30:00,23:30:00,22:30:00,48.0,48.0,30.22,1423.0,28.0,{'LLO'},Maandag,{'2022-05-23'},18.8,18.2,14.5,48.5,False
39,9643,,C7275403385,MULDER GRANEN VEENDAM,DWM WEG,12,9641RA,VEENDAM,NL,9641RA12M,16:45:00,17:15:00,TransportBV,75.0,DEPOT KOLHAM,DEPOT KOLHAM,16:45:00,21:00:00,17:30:00,17:30:00,48.0,30.0,16.69,491.0,10.0,"{'RCP', 'PEU'}",Maandag,{'2022-05-23'},17.5,39.7,29.9,13.0,True
40,3547,406,C7269809125,OLDENHOF KOOKKADO [HILVERSUM],S GRAVENLANDSEWEG,8,1211BR,HILVERSUM,NL,1211BR8O,22:00:00,22:30:00,TransportBV,75.0,DEPOT UTRECHT,DEPOT ALMERE,22:00:00,23:15:00,23:00:00,22:45:00,10.0,3.0,31.96,96.0,0.0,{'RCP'},Maandag,{'2022-05-23'},35.2,40.1,20.2,4.5,False
41,5640,,C7288971391,SENDCLOUD (WAREHOUSE) [BEST nr28],DE MAAS,28,5684PL,BEST,NL,5684PL28S,23:00:00,23:30:00,TransportBV,75.0,DEPOT SON,DEPOT SON,23:00:00,00:15:00,23:30:00,23:30:00,48.0,48.0,60.45,2716.0,186.0,{'RCP'},Maandag,{'2022-05-23'},27.9,30.5,23.3,18.4,True
42,146-ZD,,C7519622919,BFC XL iz. Bol.com [NIEUWEGEIN],INUNDATIEDOK,34,3439JJ,NIEUWEGEIN,NL,3439JJ34B,23:00:00,23:30:00,TransportBV,75.0,DEPOT TILBURG,DEPOT TILBURG,23:00:00,00:45:00,01:00:00,00:15:00,48.0,21.0,40.0,840.0,0.0,{'RCP'},Maandag,{'2022-05-23'},24.1,25.4,17.3,33.2,True
43,6621,477,C7516512016,ORIENTAL GROUP,GEOGRAAF,13,6921EW,DUIVEN,NL,6921EW13O,17:15:00,17:45:00,TransportBV,75.0,DEPOT ELST,DEPOT ELST,17:15:00,19:00:00,18:00:00,18:00:00,22.0,13.0,20.67,269.0,0.0,{'RCP'},Maandag,{'2022-05-23'},34.8,27.0,19.8,18.4,True
44,2126,,C7495975852,SCOTCH & SODA [HOOFDDORP SPIJKERDREEF],JACOBUS SPIJKERDREEF,20,2132PZ,HOOFDDORP,NL,2132PZ20S,15:00:00,16:00:00,TransportBV,75.0,DEPOT SASSENHEIM,DEPOT HALFWEG,15:00:00,21:00:00,15:30:00,16:15:00,12.0,9.0,46.37,417.0,0.0,{'RCP'},Maandag,{'2022-05-23'},34.9,37.0,28.1,0.0,False
45,8925,354,C7563931161,PROBO/PRINT OCEAN,FORTUINWEG,17,9101PE,DOKKUM,NL,9101PE17P,21:30:00,22:00:00,TransportBV,75.0,DEPOT LEEUWARDEN,DEPOT ZWOLLE,21:30:00,22:45:00,22:30:00,23:45:00,8.0,6.0,11.44,51.0,17.0,{'RCP'},Maandag,{'2022-05-23'},20.6,29.8,18.1,31.6,False
46,1137,9,C7531136551,RANZIJN TUIN & DIER,POELWEG,12,1424PB,DE KWAKEL,NL,1424PB12R,20:00:00,20:30:00,TransportBV,75.0,DEPOT HALFWEG,DEPOT AMSTERDAM ZUIDOOST,20:00:00,21:30:00,21:00:00,20:45:00,12.0,6.0,13.78,79.0,4.0,{'RCP'},Maandag,{'2022-05-23'},58.2,32.0,9.8,0.0,False
47,2104,780,C7414004408,Hogenes Warehousing B.V.,HOORN,133,2404HH,ALPHEN AAN DEN RIJN,NL,2404HH133H,16:30:00,17:00:00,TransportBV,75.0,DEPOT SASSENHEIM,DEPOT WADDINXVEEN,16:30:00,19:00:00,19:45:00,18:00:00,8.0,4.0,10.45,41.0,1.0,{'RCP'},Maandag,{'2022-05-23'},28.2,38.2,30.8,2.8,False
48,6653,954,C7413085024,BUYBAY,BIJSTERHUIZEN,2514,6604LN,WIJCHEN,NL,6604LN514B,21:30:00,22:00:00,TransportBV,75.0,DEPOT ELST,DEPOT ELST,21:30:00,22:45:00,22:00:00,22:15:00,20.57,12.86,40.0,514.0,0.0,{'RCB'},Maandag,{'2022-05-23'},24.1,25.4,17.3,33.2,True
49,7505,,C7397405751,SANDER VUNDERINK ELEKTROMATERIALEN,GRINDSTRAAT,7,7553GV,HENGELO,NL,7553GV7S,15:00:00,15:30:00,TransportBV,75.0,DEPOT HENGELO,DEPOT HENGELO,15:00:00,20:00:00,15:15:00,15:30:00,20.0,10.0,23.11,225.0,6.0,{'RCP'},Maandag,{'2022-05-23'},26.4,41.4,32.2,0.0,True
50,1091,993,C7380165541,Amsterdam Logistics & Warehousing B.V.,SLEGO,1,1046BM,AMSTERDAM,NL,1046BM1A,17:00:00,17:30:00,TransportBV,75.0,DEPOT AMSTERDAM,DEPOT HALFWEG,17:00:00,21:00:00,19:00:00,17:30:00,3.0,2.0,44.06,88.0,1.0,{'RCP'},Maandag,{'2022-05-23'},35.1,29.0,22.0,13.8,False
51,2989,411,C7472459633,WISHPEL WEBSHOPS BV,KREEKWEG,2,3223LJ,HELLEVOETSLUIS,NL,3223LJ2W,17:00:00,17:30:00,TransportBV,75.0,DEPOT RIDDERKERK,DEPOT RIDDERKERK,17:00:00,21:00:00,18:30:00,18:15:00,25.0,9.0,7.73,59.0,10.0,{'RCP'},Maandag,{'2022-05-23'},23.7,31.7,22.2,22.4,True
52,2964,,C7471346581,QUOOKER BV [ROTTERDAM],EEMHAVENWEG,44,3089KH,ROTTERDAM,NL,3089KH44Q,12:00:00,12:30:00,TransportBV,75.0,DEPOT DORDRECHT,DEPOT RIDDERKERK,12:00:00,15:00:00,14:00:00,12:45:00,45.5,39.0,24.34,949.0,0.0,"{'RCP', 'PEU'}",Maandag,{'2022-05-23'},31.6,38.5,29.9,0.0,False
53, 2922,,C7465072962,E WAREHOUSING,NIJVERHEIDSWEG,27,3274KJ,HEINENOORD,NL,3274KJ27E,22:30:00,23:00:00,TransportBV,75.0,DEPOT RIDDERKERK,DEPOT RIDDERKERK,22:30:00,23:20:00,23:30:00,23:15:00,8.0,5.0,22.76,113.0,0.0,{'RCP'},Maandag,{'2022-05-23'},31.5,21.9,18.2,28.4,True
54,MIX 2840-OML,160,C7458252335,OUT2SEND [UNIT 23] [MALLE] [BE],DELFTEN,23,2390,MALLE,BE,B2390MA23O,16:30:00,17:00:00,TransportBV,90.0,DEPOT BREDA,DEPOT WILLEBROEK,16:30:00,18:00:00,17:30:00,18:45:00,5.0,5.0,30.0,149.0,1.0,{'RCP'},Maandag,{'2022-05-23'},4.0,4.5,4.5,87.0,False
55,1813,,C7458026085,Waterland Diervoeders,J.P. POELSTRAAT,8,1483GC,DE RIJP,NL,1483GC6W,18:00:00,18:30:00,TransportBV,75.0,DEPOT OPMEER,DEPOT AMSTERDAM ZUIDOOST,18:00:00,21:00:00,19:00:00,19:00:00,22.5,18.0,20.38,366.0,1.0,{'PEU'},Maandag,{'2022-05-23'},27.6,30.2,23.3,18.9,False
56,M 2759,837,C7050780582,INFORMATIQUE,ARCHIMEDESSTRAAT,1,2652XR,BERKEL EN RODENRIJS,NL,2652XR1I,22:00:00,22:30:00,TransportBV,75.0,DEPOT WADDINXVEEN,DEPOT DEN HOORN,22:00:00,23:00:00,23:00:00,22:45:00,12.0,3.0,29.87,88.0,2.0,{'RCP'},Maandag,{'2022-05-23'},33.0,30.8,23.0,13.2,False
57,52117 WL,,C7036851292,ONEMED [FLIGHT FORUM-EINDHOVEN],FLIGHT FORUM,3780,5657DX,EINDHOVEN,NL,5657DX780O,15:00:00,15:30:00,TransportBV,75.0,DEPOT DEN BOSCH,DEPOT SON,15:00:00,19:00:00,16:15:00,15:30:00,48.0,48.0,35.22,1691.0,0.0,{'RCP'},Maandag,{'2022-05-23'},24.6,19.2,56.2,0.0,False
58,2748,,C7088224981,Print About,GROTE ESCH,600,2841MJ,MOORDRECHT,NL,2841MJ600P,18:00:00,18:30:00,TransportBV,75.0,DEPOT WADDINXVEEN,DEPOT WADDINXVEEN,18:00:00,21:00:00,19:45:00,18:30:00,18.0,12.0,44.64,536.0,0.0,{'RCP'},Maandag,{'2022-05-23'},22.8,23.7,20.2,33.3,True
59,1199,115,C6978768421,FLINDERS BV,CASABLANCAWEG,8,1047HP,AMSTERDAM,NL,1047HP8F,21:30:00,22:00:00,TransportBV,75.0,DEPOT HALFWEG,DEPOT AMSTERDAM ZUIDOOST,21:30:00,22:45:00,22:15:00,22:45:00,35.0,15.0,12.08,149.0,33.0,{'RCP'},Maandag,{'2022-05-23'},32.5,28.8,17.2,21.5,False
60,3828,457,C7021775576,METAALTECHNIEK HANDELSONDERNEMING,BASICWEG,15,3821BR,AMERSFOORT,NL,3821BR15M,16:45:00,17:15:00,TransportBV,75.0,DEPOT AMERSFOORT,DEPOT AMERSFOORT,16:45:00,21:00:00,18:00:00,17:15:00,8.0,8.0,17.78,140.0,3.0,{'RCP'},Maandag,{'2022-05-23'},18.1,35.4,42.3,4.1,True
61,2609,959,C7020124252,PLANTSOME,ZWETHLAAN,40,2675LB,HONSELERDIJK,NL,2675LB40P,17:00:00,17:30:00,TransportBV,75.0,DEPOT DEN HOORN,DEPOT DEN HOORN,17:00:00,21:00:00,20:00:00,17:30:00,35.0,17.0,10.93,113.0,73.0,{'RCP'},Maandag,{'2022-05-23'},32.8,25.8,18.9,22.4,True
62,34069,856,C7217900794,HERINNERING OP LINNEN,STEENOVENWEG,9,3417XR,MONTFOORT,NL,3417XR9H,16:45:00,17:15:00,TransportBV,75.0,DEPOT NIEUWEGEIN,DEPOT UTRECHT,16:45:00,19:00:00,18:00:00,17:45:00,12.0,5.0,77.41,363.0,24.0,{'RCP'},Maandag,{'2022-05-23'},23.8,36.8,31.3,8.1,False
63,5600,,C7209951761,VERFWINKEL.NL,VARENSCHUT,13,5705DK,HELMOND,NL,5705DK13V,21:00:00,21:30:00,TransportBV,75.0,DEPOT SON,DEPOT SON,21:00:00,22:30:00,22:00:00,21:45:00,24.0,24.0,30.43,723.0,7.0,{'RCP'},Maandag,{'2022-05-23'},28.2,38.4,30.2,3.2,True
64,2977,,C7255704531,QUOOKER BV [ROTTERDAM],EEMHAVENWEG,44,3089KH,ROTTERDAM,NL,3089KH44Q,16:15:00,16:45:00,TransportBV,75.0,DEPOT RIDDERKERK,DEPOT RIDDERKERK,16:15:00,21:00:00,17:15:00,17:00:00,45.5,12.0,24.34,292.0,0.0,"{'RCP', 'PEU'}",Maandag,{'2022-05-23'},31.6,38.5,29.9,0.0,True
65,66105,459,C7254902159,FULFILMENT ACHTERHOEK,EDISONSTRAAT,58,6902PK,ZEVENAAR,NL,6902PK58F,22:45:00,23:15:00,TransportBV,75.0,DEPOT ELST,DEPOT ELST,22:45:00,00:15:00,00:00:00,23:30:00,24.0,24.0,11.92,199.0,87.0,{'RCP'},Maandag,{'2022-05-23'},29.0,31.4,21.4,18.2,True
66,8003,221,C7237072299,TEN CATE,LANGEVEENSEWEG,55,7678VH,GEESTEREN,NL,7678VH55T,16:00:00,16:30:00,TransportBV,75.0,DEPOT ZWOLLE,DEPOT HENGELO,16:00:00,19:00:00,18:30:00,17:45:00,9.0,6.0,33.47,201.0,0.0,{'PEU'},Maandag,{'2022-05-23'},18.0,41.4,36.3,4.3,False
